Date,Dollars_Per_Gallon,Gasoline_Consumption(Millions of Gallons),Year,Month
1993-04-01,1.078,9367.638,1993,April
1993-05-01,1.1,9876.09,1993,May
1993-06-01,1.097,9702.0,1993,June
1993-07-01,1.078,10135.65,1993,July
1993-08-01,1.062,10238.676,1993,August
1993-09-01,1.05,9585.198,1993,September
1993-10-01,1.092,9611.616,1993,October
1993-11-01,1.066,9491.244,1993,November
1993-12-01,1.014,9975.168,1993,December
1994-01-01,0.998,9088.044,1994,January
1994-02-01,1.009,8555.274,1994,February
1994-03-01,1.008,9628.206,1994,March
1994-04-01,1.027,9530.136,1994,April
1994-05-01,1.047,9953.034,1994,May
1994-06-01,1.078,9981.888,1994,June
1994-07-01,1.106,10265.598,1994,July
1994-08-01,1.155,10382.862,1994,August
1994-09-01,1.144,9595.404,1994,September
1994-10-01,1.114,9827.328,1994,October
1994-11-01,1.119,9404.808,1994,November
1994-12-01,1.129,10316.46,1994,December
1995-01-01,1.13,9326.478,1995,January
1995-02-01,1.12,8797.362,1995,February
1995-03-01,1.119,10139.346,1995,March
1995-04-01,1.157,9640.68,1995,April
1995-05-01,1.225,10277.652,1995,May
1995-06-01,1.239,10357.62,1995,June
1995-07-01,1.201,10269.588,1995,July
1995-08-01,1.17,10659.642,1995,August
1995-09-01,1.158,9810.36,1995,September
1995-10-01,1.134,10130.694,1995,October
1995-11-01,1.109,9910.95,1995,November
1995-12-01,1.118,10079.58,1995,December
1996-01-01,1.137,9466.716,1996,January
1996-02-01,1.136,9255.834,1996,February
1996-03-01,1.183,10145.016,1996,March
1996-04-01,1.275,9920.064,1996,April
1996-05-01,1.324,10508.358,1996,May
1996-06-01,1.3,10190.922,1996,June
1996-07-01,1.272,10631.208,1996,July
1996-08-01,1.251,10863.006,1996,August
1996-09-01,1.247,9654.414,1996,September
1996-10-01,1.249,10537.674,1996,October
1996-11-01,1.278,9972.438,1996,November
1996-12-01,1.282,10148.418,1996,December
1997-01-01,1.283,9506.28,1997,January
1997-02-01,1.276,9017.022,1997,February
1997-03-01,1.251,10150.182,1997,March
1997-04-01,1.244,10160.388,1997,April
1997-05-01,1.245,10596.936,1997,May
1997-06-01,1.242,10442.712,1997,June
1997-07-01,1.22,11061.162,1997,July
1997-08-01,1.268,10719.534,1997,August
1997-09-01,1.276,10108.392,1997,September
1997-10-01,1.242,10599.54,1997,October
1997-11-01,1.216,10035.438,1997,November
1997-12-01,1.177,10500.63,1997,December
1998-01-01,1.132,9918.048,1998,January
1998-02-01,1.096,9068.136,1998,February
1998-03-01,1.064,10420.578,1998,March
1998-04-01,1.077,10473.12,1998,April
1998-05-01,1.105,10779.3,1998,May
1998-06-01,1.103,10735.704,1998,June
1998-07-01,1.094,11301.822,1998,July
1998-08-01,1.065,11156.166,1998,August
1998-09-01,1.049,10470.81,1998,September
1998-10-01,1.059,10908.408,1998,October
1998-11-01,1.036,10290.042,1998,November
1998-12-01,0.987,11002.698,1998,December
1999-01-01,0.98,10027.08,1999,January
1999-02-01,0.962,9444.456,1999,February
1999-03-01,1.022,10582.194,1999,March
1999-04-01,1.171,10716.972,1999,April
1999-05-01,1.171,10962.336,1999,May
1999-06-01,1.154,11196.318,1999,June
1999-07-01,1.197,11641.938,1999,July
1999-08-01,1.26,11170.488,1999,August
1999-09-01,1.295,10464.3,1999,September
1999-10-01,1.285,11121.054,1999,October
1999-11-01,1.292,10382.526,1999,November
1999-12-01,1.313,11534.46,1999,December
2000-01-01,1.329,9963.87,2000,January
2000-02-01,1.415,10098.438,2000,February
2000-03-01,1.556,10813.488,2000,March
2000-04-01,1.506,10552.332,2000,April
2000-05-01,1.526,11276.244,2000,May
2000-06-01,1.666,11118.87,2000,June
2000-07-01,1.591,11252.052,2000,July
2000-08-01,1.506,11614.68,2000,August
2000-09-01,1.588,10732.092,2000,September
2000-10-01,1.571,10958.556,2000,October
2000-11-01,1.557,10563.756,2000,November
2000-12-01,1.483,11288.13,2000,December
2001-01-01,1.487,10545.234,2001,January
2001-02-01,1.49,9682.596,2001,February
2001-03-01,1.45,11108.832,2001,March
2001-04-01,1.591,10804.584,2001,April
2001-05-01,1.738,11335.044,2001,May
2001-06-01,1.658,10949.148,2001,June
2001-07-01,1.466,11747.988,2001,July
2001-08-01,1.461,11657.184,2001,August
2001-09-01,1.557,10782.156,2001,September
2001-10-01,1.357,11268.348,2001,October
2001-11-01,1.212,10932.768,2001,November
2001-12-01,1.127,11177.838,2001,December
2002-01-01,1.148,10711.638,2002,January
2002-02-01,1.155,10121.622,2002,February
2002-03-01,1.289,11269.44,2002,March
2002-04-01,1.439,11044.782,2002,April
2002-05-01,1.434,11820.186,2002,May
2002-06-01,1.424,11516.568,2002,June
2002-07-01,1.438,11904.48,2002,July
2002-08-01,1.438,12124.896,2002,August
2002-09-01,1.441,10945.032,2002,September
2002-10-01,1.486,11475.492,2002,October
2002-11-01,1.461,11124.036,2002,November
2002-12-01,1.429,11579.19,2002,December
2003-01-01,1.5,10954.398,2003,January
2003-02-01,1.655,10025.946,2003,February
2003-03-01,1.734,11199.384,2003,March
2003-04-01,1.633,11135.922,2003,April
2003-05-01,1.539,11772.348,2003,May
2003-06-01,1.533,11554.41,2003,June
2003-07-01,1.554,11967.564,2003,July
2003-08-01,1.661,12253.71,2003,August
2003-09-01,1.721,11246.55,2003,September
2003-10-01,1.606,11858.112,2003,October
2003-11-01,1.555,11271.372,2003,November
2003-12-01,1.522,11732.238,2003,December
2004-01-01,1.614,11333.91,2004,January
2004-02-01,1.69,10764.096,2004,February
2004-03-01,1.778,11749.29,2004,March
2004-04-01,1.839,11498.634,2004,April
2004-05-01,2.023,11951.604,2004,May
2004-06-01,2.013,11745.468,2004,June
2004-07-01,1.954,12183.402,2004,July
2004-08-01,1.92,12143.25,2004,August
2004-09-01,1.912,11359.488,2004,September
2004-10-01,2.042,11844.084,2004,October
2004-11-01,2.023,11409.468,2004,November
2004-12-01,1.887,11985.624,2004,December
2005-01-01,1.875,11473.98,2005,January
2005-02-01,1.953,10421.04,2005,February
2005-03-01,2.12,11709.642,2005,March
2005-04-01,2.285,11500.734,2005,April
2005-05-01,2.205,12080.376,2005,May
2005-06-01,2.198,11809.476,2005,June
2005-07-01,2.333,12413.016,2005,July
2005-08-01,2.529,12417.342,2005,August
2005-09-01,2.951,11233.068,2005,September
2005-10-01,2.765,11765.082,2005,October
2005-11-01,2.303,11484.984,2005,November
2005-12-01,2.229,12102.762,2005,December
2006-01-01,2.36,11508.882,2006,January
2006-02-01,2.326,10479.714,2006,February
2006-03-01,2.468,11788.938,2006,March
2006-04-01,2.787,11533.998,2006,April
2006-05-01,2.953,12118.47,2006,May
2006-06-01,2.93,11942.7,2006,June
2006-07-01,3.025,12508.524,2006,July
2006-08-01,2.999,12451.992,2006,August
2006-09-01,2.606,11637.024,2006,September
2006-10-01,2.293,12065.13,2006,October
2006-11-01,2.275,11647.902,2006,November
2006-12-01,2.359,12158.076,2006,December
2007-01-01,2.289,11568.942,2007,January
2007-02-01,2.323,10591.56,2007,February
2007-03-01,2.609,11949.252,2007,March
2007-04-01,2.891,11611.446,2007,April
2007-05-01,3.187,12283.446,2007,May
2007-06-01,3.102,11959.122,2007,June
2007-07-01,3.011,12550.734,2007,July
2007-08-01,2.834,12475.722,2007,August
2007-09-01,2.849,11660.334,2007,September
